id,soldier_id,company_id,decoration_id,gazetteIssue,gazettePage,gazetteDate,citation,notes,country_id
4539,6023,UNKNOWN,19,59316,1221,2010-01-26,,,,
16,17,101 PRO COY,1,34893,4265,1940-07-11,"Military Medal Citation.
France & Flanders
Whilst under considerable aerial bombing at ACHICOURT this NCO commanded his section of Military Police which had been armed with rifles and anti-tank rifles for the defence of ARRAS.   With great coolness, courage and ability he afterwards rendered valuable service at ARRAS when Petre Force was withdrawn.   His work on traffic control largely contributed to its successful withdrawal.   During the operation which followed he continued to be a fine example to his men by his disregard of personal safety and proved himself to be a very valuable NCO.
Awarded the MM.   Recommended by Captain C F H Gough OC 101 Pro Coy.   National Archive WO 373/15.",,,
17,18,50 DIV PRO COY,1,34893,4265,1940-07-11,"Military Medal Citation.
BEF France & Flanders
On 23 May 1940 at Douain he showed great coolness and courage in the face of enemy tanks and air attacks, having been forced with 2 other men to take cover in a building from enemy tanks he decided to  fetch assistance.   Under heavy fire he recovered his motor cycle from a ditch and rode to a nearby brick kiln where he expected to find our troops.   Failing to find them he rode back and conveyed the other two men in turn on the pillion of his motorcycle to a place of safety from which they later rejoined our troops.   All this was done under continuous fire.
Recommended for MM by the Commander of 50 Division.   National Archive WO 373/15.
",,,
18,20,46 DIV PRO COY,1,34893,4266,1940-07-11,"Citation for Military Medal
France & Flanders
This NCO from the CMP was attached to the battalion by 137 Infantry Brigade.   In addition to the work which he did on patrol with 2 Lieutenant Wright he carried several messages from CALONNE on 25 May 1940 through enemy positions which would have been impossible to deliver otherwise.   He showed great courage and devotion to duty the whole time he was with the battalion.   I understand from Capt Lofthouse APM 46 Division he also did other good work of which Captain Lofthouse is aware.
Awarded the MM.   Recommended by Lt Col E J Pulleyn acting Commander 137 Inf Bde, 46 Div.  National Archive WO 373/15.

",,,
20,51,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
21,22,46 DIV PRO COY,1,34926,5077,1940-08-20,"Military Medal Citation.
BEF France and Flanders
At about 1900 hours 20 May 1940 Lance Corporal Crane on a motorcycle was attempting to join the train he was with after having made a reconnaissance east of ABBEVILLE at 1930 hours. On turning a corner he ran into a German mechanised column and was captured.   He was taken with 6 other prisoners and marched back.   He lagged behind the remainder  and as soon as it was dusk made off in the direction of the coast.   During 21 May in company with a Belgian soldier Crane made his way to FORT St MAHON where they obtained a canoe and during the night of 21/22nd travelled down the coast arriving at CAEUX (on coast near St VALERY) in the morning and walked to DIEPPE, arriving on the 23rd, where he reported to the DAPM.
Awarded the MM.   Recommended by the DAPM Dieppe.   National Archive WO 373/15.   ",,,
22,13,Brest Sub-Area,2,35020,7196,1940-12-20,BEF.  Citation not found.,,,
23,24,1 ARMD DIV PRO COY,1,34955,5764,1940-09-27,"Military Medal Citation.
France & Flanders
No surviving citation could be found for this award.",,,
25,25,105 PRO COY,1,35020,7174,1940-12-20,"Military Medal Citation.
France & Flanders
On 27 May 1940 Lance Corporals Green and Welsh were placed at an important cross roads close to a bridge over a canal in DUNKIRK.   Their duty was to divert troops entering the town to the sand dunes outside as the continual bombing attacks and large fires were rendering the town impossible.   The cross roads and bridge were subjected to bombing and machine gunning attacks from the air throughout the day.   These NCO's remained at their post despite all enemy acitivity until ordered to dismiss by their section commander, thus saving many lives by their action in continuing to direct troops to the sand dunes.
Awarded the MM.   Recommended by Captain M A Bill OC 105 Pro Coy.   National Archive WO 373/16.",,,
26,26,105 PRO COY,1,35020,7174,1940-12-20,"Military Medal Citation.
France & Flanders
On the 27 May 1940 these  NCO's were placed on an important cross roads close to a bridge over a canal in DUNKIRK.   Their duty was to direct troops entering the town to the sand dunes outside as the continual bombing attacks and large fires were rendering the town impassable.   The cross-roads and bridge were subjected to bombing and machine gunning attacks from the air throughout the day.   These NCO's remained at their posts despite all enemy activity until directed to dismiss by their section commander, thus saving many lives by their action in continuing to direct troops to the sand dunes.
Awarded the MM together with Lance Corporal Green.   Recommended by Captain MA Bill OC 105 Pro Coy.   National Archive WO 373/16.


",,,
27,27,105 PRO COY,2,35020,7196,1940-12-20,"BEF.  Citation for MID.   Throughout the recent operations in France & Belgium this Warrant Officer has been an outstanding example through his conduct at all times to the men of the company.   He showed great bravery and coolness at Dunkirk when his car was shattered by a nearby salvo of bombs and his servant was killed beside him.   Though deafened and stunned by the explosion he continued on duty for the remainder of the day and all the following night.   Thereby setting a magnificent example to the men during their initial days of continous bombing.   National Archive WO 373/16.
Awarded an MID.   Recommended for the DCM. ",,,
29,30,,2,35020,7196,1940-12-20,BEF.  Citation not found.,,826,
30,31,1 DIV PRO COY,2,35020,7196,1940-12-20,BEF.   Citation not found.,,,
33,34,,2,35020,7196,1940-12-20,BEF.   Citation not found.   Shown as in the field in LG.,,,
34,35,101 PRO COY,6,34893,4256,1940-07-11,"BEF.  Citation for BEM:  Has shown marked initiative, tact and devotion to duty in the carrying out ot his many and varied duties as an NCO of 101st Provost Company since the arrival of the BEF in France in September 1939.   He has been untiring in his energy and has been most conspicuous in the way in which he has never spared himself in order to carry out his duty.    Amongst the special duties he has performed conspicuously were those in connection with the visit of HM the King and that of the President of the French Republic.   His conduct at all times and under all conditions has been most praiseworthy and he has set a very fine example to those under him.
No. shown as 2876796 in London Gazette.

Awarded the British Empire Medal.  Recommended by the Secretary of State for War on the submission of the Commander-in-Chief BEF. France.
Citation Air 2/9429.",,,
35,36,,2,35020,7197,1940-12-20,BEF.  Citation not found.   Shown as in the Field in LG.,,,
36,37,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
37,38,5 DIV PRO COY,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
38,39,107 PRO COY,2,35020,7197,1940-12-20,"BEF.   Shown as in the field in LG.   30/12/1940 RSM Parker, MID, whilst serving with BEF Maj June 1940.   107 Provost Company War Diary WO 166/5906.",,,
39,40,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
40,41,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
41,42,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,826,
42,43,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,826,
43,44,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
44,45,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
45,46,102 PRO COY,2,35020,7197,1940-12-20,"BEF.  Citation for MID:  This N.C.O. was outstanding for his coolness and devition to duty under heavy bombing and shelling.   During the withdrawl period he was engaged with his Section on detached traffic control and other special duties and by his ability, courage and fine example contributed greatly to the successful withdrawal of B.E.F. troops.   During three days and nights at BRAY DUNES he worked unceasingly and later at DUNKIRK he remained in charge of the last M.P. Section to embark for England being employed in embarkation duties on the Mole until ordered to embark in the small hours of Sunday, 2nd June, 1940.
Recommended for Military Medal, awarded MID.
Major P. Ingram A.P.M. 1st Corps.   National Archive WO 373/89.",,,
46,47,103 Provost Company,2,35020,7197,1940-12-20,"BEF.   Shown as in the field in LG.    London Gazette, 31/12/1940 RSM E C Secker, Sgt R N Scovell, L/Cpl A Waller for distinguished service in the field March - June 1940.   103 Pro Coy War Diary WO 166/5904.",,,
47,48,BEF,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
49,50,,2,35020,7197,1940-12-20,BEF.   Shown as in the field in LG.,,,
52,53,102 PRO COY,2,35020,7197,1940-12-20,"BEF In the Field March-June 1940   102 Pro Coy.   Citation for MID:  During the whole withdrawl period and whilst frequently under heavy bombing and shelling this N.C.O. carried out motor cycle reconnaissances and duties in connection with the embarkation with exeptional courage and ability.   During three days and nights at Bray Dunes he worked unceasingly and later at Dunkirk he remained and was with the last M.P. Section to leave for England, being employed on the Mole until ordered to embark in the small hours of Sunday, 2nd June.   By his coolness and devotion to duty he set a fine example to the men under him and assisted materially in the withdrawl and embarkation of B.E.F. troops.
Recommended for Military Medal, awarded MID.
Maj P. Ingram, APM 1st Corps.   National Archive WO 373/89",,826,
53,54,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
54,55,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
55,56,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
56,57,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
57,58,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
58,59,1 Corps,2,35020,7197,1940-12-20,"BEF.   In the field March-June 1940.  Citation for MID:  During three days and nights at Bray Dunes this N.C.O. was employed on motor cycle reconnaissances and special duties in connection with embarkation during heavy bombing and shelling.
By his unceasing efforts, initiative and courage in very difficult circumstances he greatly assisted in the withdrawal and embarkation of B.E.F. troops.
Major P. Ingram, APM 1st Corps.   National Arichive WO 373/89.",,,
59,60,1 Corps,2,35020,7197,1940-12-20,"BEF.   In the field March-June 1940.   MID Citation:  During three days and nights at BRAY DUNES this N.C.O. was employed on motor cycle reconnaissances and other duties in connection with embarkation, during heavy bombing and shelling.   By his unceasing efforts, initiative and courage in very difficult circumstances he greatly assisted in the withdrawal and embarkation of B.E.F. troops.
Maj P Ingram APM 1Corps.   National Archive WO 373/89",,,
60,61,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
61,62,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
62,63,103 Provost Company,2,35020,7197,1940-12-20,"BEF.   In the field March-June 1940.   Citation for MID:   By his excellent behaviour under very trying circumstances, this N.C.O. set an excellent example in the Company when under shell fire on the beach at LA PANNE.   This N.C.O. carried out his duties with a complete disregard for his personal safety.   By his example and devotion to duty he materially assisted in the evacuation of the BEF.
Major APM  2nd Corps.   National Archive WO 373/89.
London Gazette, 31/12/1940 RSM E C Secker, Sgt R N Scovell, L/Cpl A Waller for distinguished service in the field March - June 1940.   103 Pro Coy War Diary WO 166/5904.",,,
63,64,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
64,65,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
65,66,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
66,67,,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
68,20,46 DIV PRO COY,2,35020,7197,1940-12-20,BEF.   In the field March-June 1940.,,,
69,33,Not Known,2,35096,1350,1941-03-07,"Captured May 26th 1940.   Escaped May 28th 1940.  Left Gibraltar 7th Dec 1940.   Arrived London 14th Dec 1940.   Private Address: 21 Sangood Road, Clapham Junction, SW11.   Length of Army Service: Five years, 9 months.   Profession in peacetime: Commercial Traveller.
CAPTURE I was taken prisoner at CALAIS when that town was taken by the Germans.   After being rounded up we were taken to GUISNES, and, on May 28th, I managed to slip out of the column of prisoners into a wood with a French officer, with whom I spent two weeks in the vicinity.,
ESCAPE After that we made our way South through ABBEVILLE, LE TREPORT, DIEPPE, ST. VALERY, BALSEC, LE HAVRE, QUILEBEUF (where we stole two bicycles) PONT ANDEMAR, MAYENDCE, NANTES (here there were A.A.guns on all the bridges, PARTEMAY, PERIGUEUX and CANTMERIE where the French officer left me.   At STELLA PLAGE near St. VALERY a driver in the R.A.S.C. who had joined me helped me to make a raft out of a bathing machine and some wire which we cut out of a German telephone line.   We launched this but the incoming tide prevented us from getting away from the shore.   At CEVRAY I crossed into unoccupied France, walking past the German post, clearly indicated by a large Swastika flag.   I decided to make for SPAIN and got across the Pyrenees and down to the Spanish Village of TORLA, but was here arrested by Spanish guards who took me back to GAVARNIE in France.   I was later taken to ST. GIRONS and spent three days in the town jail before going on to the concentration camp at MONDERRAN-SAVES.   After a month I again managed to get away.   I reached the coast at SE???  And got on a ship bound for ORAN, but I was discovered before the boat sailed and 'kicked' off.   I then went on to MARSEILLES, and, after six days with the Rev. Caskie at the Sailors Mission, boarded another ship disguised as a ship-wrecked sailor.   On arrival at ORAN I was sent up to the D.I.N., where I joined other British personnel and received good treatment.   I stayed there a week and then escaped in the company of a small party of demobilised Legionnaires for CASABLANCA, which was reached on October 5th.   At CASABLANCA with Major Potts and 11 O.R.'s,  through the agency of Mr Bullen, Manager of the Vacuum Oil Company in that town.   We were given the opportunity to embark on the ""MAR ASUL"" A Portuegese ship of about 300 tons.   A friend of Mr Bullen's by the name of Hands, owned a house on the hill-side overlooking the docks, and, from one of the windows of the top story, we could make out the ""MAR ASUL"" lying along side the quay.   Mr Bullen explained that it was up to each individual to make his own arrangements for getting on board.   The dock area itself was surrounded by barbed wire, the two top strands were electrified.   Three of the party (including myself) managed to crawl under this wire at night-time and the others came through the following day, at intervals by a small gate.   I understood from Mr Bullen that the Captain of the ""MAR ASUL"" received the sum of 5,000 Frs. Per head for smuggling us out of CASABLANCA,   He had made arrangements on board for hiding us in part of the front hatch, which was boarded off, and which we reached through a trap door cut in the floor of the crew's quarters.   The vessel was searched before and after sailing but no one was discovered.   Mr NATELER acted as intermediary between Mr Bullen and our party as, of course, it was extremely dangerous to be seen discussing plans.   I was given to understand that a B.B.C. broadcast made by three British soldier, Ptes. Kemp, Wilson and Macdonald, gave the Germans warning of the number of escapers making their way through Spain, and was instrumental in closing the frontier when the Poles had arranged to smuggle men over.   Ptes  C?????  And Sw??? (of the Royal Corps of Signals) who were in our party, against the advice of the rest of us, gave their stories to a representative of the ""Daily Express"" at Gibraltar and also met a representative of the B.B.C. there.   I consider that both these men should be watched as they have no scruples about publishing their experiences.
Interviewed by M.I.9 on 17th December 1940
M.I. 9./S/P.G. (F) 145.21.12.49.   National Archive WO 373/60.",,,
70,70,United Kingdom,8,35116,1733,1941-03-25,"George Medal Citation 2653434 WOI (RSM) A HARRISON CORPS OF MILITARY POLICE
GEORGE MEDAL United Kingdom Regimental Sergeant Major Harrison was on duty at his Fire Station on the night of the 22nd/23rd August, 1940, when he was summoned to take his Brigade to assist in dealing with an ammunition train which had been bombed and set on fire.   Though bursting shells and flying fragments of metal made approach most dangerous, Regimental Serjeant-Major Harrison led his men up to and alongside the train.   They succeeded in manhandling to safety all the trucks which were not actually burning.   By his initiative and courage he set a fine example to all those engaged upon the salvage operations and contributed largely to the success of their efforts.",,826,
4545,6027,UNKNOWN,52,59369,5037,2010-03-10,,,,
71,71,,5,35204,3741,1941-07-01,"MBE citation not found.
",,826,
72,72,5 L of C Pro Coy,4,35363,6875,1941-12-28,"BEF.   I received a head wound near Lille on 18 May 40 and was taken to the hospital at Camiers, which on 20 May was taken over by the Germans.
On 1 July, with other wounded, I was moved, in a lorry through Hesdin, Lille (2 July) and Renaix (4 July) to Loekeren (6 July), where we were packed like sardines in barges and, after 3 days reached Emmerich.   We were then taken on to Dortmund.   While I was there 7 Irishmen and 4 Welshmen were interviewed by a German official in the presence of an individual who bore, on the lapel of his coat, a badge with the letters IRA.   None of the men interviewed subscribed to these efforts to win him over and all of them rejoined us.
By this time I was convalescent and on about 16 July was taken by rail, a 4 days' journey, to Thorn (Poland), Stalag XXA.
After a fortnight I was transferred to a working camp (No354) at Pischnitz (Popolaska) also known as Hoch Stublau.   This camp was about 50km south east of Danzig and prisoners were employed on roadwork on a new road which is to run from Berlin to Danzig.   Although an NCO I was compelled to work, but prisoners who were unfit, at the instigation of a British Medical Officer Major Tucker, RAMC were excused from this levy.   This officer did magnificent work in attending to sick prisoners, although he had little equipment and constant hindrance.
By contrast at Thorn, RSM Davidson (the camp leader) and a Private Puttinger (who wore the crown of a Sergeant Major) curried favour with the Germans and were very harsh with prisoners.   Similarily, CSM Dean, at the working camp, insisted on our working, to the limit of our capacity, in order to placate and win personal favour from the Camp Commandant.
The guards at both camps could be divided into two categories, those who were over 25, who treated us fairly and those who were younger and brutal.   As far as I know no guard would accept a bribe.
While I was a prisoner at Pischnitz (4 August - 17 September 1940) we received a parcel on 28 August, which was divided between 41 men; my portion being 12 cigarettes and half a tin of kippers.   Camp rations were poor; we had two meals a day.   All money and valuables were confiscated.   Each man was given one blanket and all overcoats and spare clothes were taken from us.   There was no issue of soap or towels, so that we were generally lousy and filthy.
The first requisite for escaping is a large scale map of the vicinity of the camp.   I was able to make a copy of a map, which had been brought into the camp by some white Russians who were awaiting repatriation.   Poles came into the camp and worked alongside us on the road.   They did not give us any escape materials but were practically to a man, willing to help escapers.
On the 17 September 1941, 20 of us were out working under one guard.   We were digging up bombs, made of iron and concrete.   The guard left us and we remained under the charge of a German Pole.  Myself , Lance Corporal Green and Gunner Clark seized our opportunity and slipped away and, once out of sight, made off in an easterly direction.   (I was wearing a Polish Uniform, Green had a Polish tunic and British army trousers and Gunner Clark was in battledress.)
Our course was Gostynin, Borazanov and Kenpa.
At Kenpa I was parted from the other two as the Poles thought it better to split us up.
On about 1 October 1941, I was guided by way of Sochechiev to Warsaw, where I was sheltered and looked after by the official Polish organisation.   Later I was taken by train to the Russian frontier, passing through Siedlice and Nemmoijki.   I crossed the river Bug in a boat, while Polish scouts kept a watch for any German patrol.   I climbed over the barbed wire fence into Russia and handed myself over to the authorities within five minutes of crossing the frontier.   I was searched very thoroughly and everything was taken away from me.   I was put in a small cell for one night.   I was taken on to another place ( I did not know the name) and stayed there for 10 days in company with Polish prisoners.   The food was terrible and the conditions were extremely bad.   There was no room to lie down in the cell at night.   I then went to Minsk where conditions were just as bad.   On the 6th January I was sent to Moscow where the conditions were better.   I was in a room with 25 English and French.   The food was good and cigarettes were provided.
While I was at Minsk I had leant two Russian sentences.  'I must speak to the prison governor.' and 'When can I speak to the prison governor?'  which I used in the Moscow prison but with no result.   With me at this time were: Lovegrove, Briggs, Bateman, Boughton.
We were given paper to write to England, but I did not avail myself of this opportunity as I thought the letters would not be sent.   In order to force the Russians to allow us to see the Governor we went on a hunger strike for five days.   On the third day of this strike I was taken away and put in a cell by myself as I was considered to be the ring-leader.   At the end of the five days my friends were moved to another room where I joined them.   This was about the 6th  February.   Three or four days later my friends were taken away and from then on I did not know anything about them.   The following day I was taken from my cell and put in another room with three Frenchmen.   I stayed there until about the 25 February when I was taken out and put in a cell alone.   I was there for five weeks and, at the end of the time, was beaten up by the prison guards,   During this period I was perpetually interrogated and asked why I had come to Russia and also questioned concerning the Secret Police organization in England.   I told them the story of my escape and asked to see the British consul.   I stayed another nine weeks alone in the cell, during which time I was again beaten up.   The Russian-German war then broke out and we were taken to Capatob to a very bad prison; 10 men were packed into one small cell and there was scarcely room to stand.   I stayed there until the 7th  September, when the deputy governor came to my cell and brought me out.   I was then placed in the first class part of the prison and given cigarettes and all the food I could eat.   My clothes were washed and they made a great fuss of me.   The following morning I was taken to Moscow under escort of two Lieutenants.   I stayed in the Lubianka prison for one night where I was extremely badly treated.   The following morning I was taken back to my old prison, but put in a third class part where I stayed alone in a cell for three weeks.   They then came and gave me a bath, haircut etc., but refused to give me any food.   They then took me before two civilians who questioned me as to my name, etc. and then told me I was free.   I asked for some food and this was brought immediately.   They told me the address of the British Embassy but as I did not know my way about Moscow they had to take me there in a car.   They pointed out the Embassy to me and then stopped the car 300 yards away from it.   I rushed straight in.
During the period I was in prison I was forced to sign certain documents in Russian which, naturally, I could not understand.   A revolver was used in order to persuade me to do this.
On board HMS London a full account of my experience was taken down in shorthand under instructions from either Lord Beaverbrook or Lt General Ismay, in Lord Beaverbrook's cabin.   It took about two hours.  I told them the story of my escape with particular emphasis on my experiences in Russia.   I mentioned the name of a Pole who had helped me but was immediately warned by General Ismay that I must, on no account, mention names.

(The above details were taken from the book, 'No Citation' by J Allan and published by Angus and Robertson in 1955.)   The official citation was never released.",,,
73,305,43 (Wessex) Division,1,36961,1182,1945-03-01,"Military Medal Citation
North West Europe
On the 8  August 1944 in the area of MOUNT PINCON, Private Jeffrey was a member of a patrol which was being sniped at from three different directions.   After the patrol had passed back the information Private Jeffreys accompanied the patrol leader going out again to deal with the snipers.
Private Jeffrey under the covering fire of his section commander stalked forward and killed the two snipers nearest to him.   The third sniper made off.   Private Jeffrey then saw a movement to his right flank and crawled to the rear of some enemy and single handed captured three prisoners.
Awarded an immediate MM Recommended by the CO Lt Col G Taylor 5th DCLI 214 Brigade 43 Div.   National Archive WO 373/52.",,,
74,74,CMP Depot Egypt,5,35396,7330,1941-12-30,"MBE Citation:  This Warrant Officer has carried out the duties of RSM at Bab el Hadid Barracks, Cairo, for the past 12 months.   His cheerful temperament and tact have largely contributed towards overcoming the difficulties experienced in CMP duties at this station due to the acute shortage of personnel until the arrival of reinforcements in May this year (1941).   He has completed more than 25 years service of which 18 have been with the Corps of Military Police.   Lieut Col APM Cairo Area.  Brigadier Commander Cairo.  National Archive WO373/76",,826,
75,75,204 PRO COY,1,35499,1372,1942-03-26,"Military Medal Citation.  
Escape and evasion North Africa
Sgt. ARMSTRONG escaped from the P/W cage at BERKA BARRACKS near BENGASI on 4th December at 1900hrs, with L/Cpl CAIRD, 2/Camerons and Dvr. MURRAY.   Escape was prepared by cutting the wire on the 3rd - all except the last two strands - making final getaway during the changing of the guard on the 4th.
     The three had made several individual attempts to escape previously, Sgt. ARMSTRONG getting as far as MECHILI on one occasion.   They had also prepared an escape jointly by digging a hole through the wall.   They were  betrayed  thought  and the German military police came in, found the hole and, after a search, all their stores of food.   They had saved up 5 tins of sardines, some tongue, a small quantity of rice and macaroni, one Italian loaf, 2 tins of cheese and 5 water bottles.
     When they escaped eventually, they walked right through the barracks, waited for the moon to come up and started off   S.W. of BENINA, walking past REGIMA towards TEONIS.   On the 12.12.41 they met an Arab between MARAUA and SLONTA, who was a great help to them and guided them on their journey were finally picked up by troops of the 7th Armd. Division south of BOMBA at 1400 hours  on the 16/12/41.
     Half-way on their journey they had a most tremendous stroke of luck in finding a miniature ration store containing bully beef and other food stuffs, obviously left by us in our retreat.   This happened when their food was practically exhausted.   
During the whole of the journey they themselves saw no signs of movement and no new tracks, but the 
Arabs informed them that guns and armoured cars were going westward towards BENGHASI.
     While at BENGHASI the men worked in food stores, docks, etc.   They were detailed every day for different jobs.   On the 27th November, ARMSTRONG worked in the docks at unloading a sinking ship.   When they left conditions were chaotic.   They had been shut up for 5 days, no work had been done and Germans and Italians obviously did not know what to do with their prisoners.
     It was due to great courage and unflagging determination that this N.C.O. was able successfully to excape with his two companions in the face of many hardships and handicaps.   They were also observant on their journey and brought back useful information.
Awarded an immediate Military Medal
Recommended by Brigadier J Shearer D.M.I.
Citation ref WO 373/61",,,
76,76,CMP Depot Egypt,5,35526,1693,1942-04-16,"Egypt July-Oct 1941.   MBE Citation:  This WO has carried out the duties as RSM Cairo, since the formation of the Depot.   He has carried out an extremely difficult job with great tact and efficiency and it is largely due to him that the CMP probationers have reached such a high standard of training.   This merits recognition.   He has 26 years service.   APM Cairo Area, Provost Marshall MEF.  National Archive WO 373/76",,,
77,77,50 DIV PRO COY,2,35611,2855,1942-06-30,"Middle East July-Oct 1941.
",,,
78,78,,2,35611,2855,1942-06-30,"Middle East, July-Oct 1941.",,,4
79,79,Middle East,2,35611,2855,1942-06-30,Middle East July-Oct 1941.,,,
80,80,,2,35611,2855,1942-06-30,Middle East July-Oct 1941.,,826,
81,81,,2,35611,2855,1942-06-30,Middle East July-Oct 1941.,,,
82,82,,2,35611,2856,1942-06-30,Middle East July-Oct 1941.,,,
83,83,,2,35611,2856,1942-06-30,Middle East July-Oct 1941.,,,
84,84,Not Known,2,35611,2856,1942-06-30,Middle East July-Oct 1941.,,,
85,85,,2,35611,2858,1942-06-30,Middle East July-Oct 1941.,,,
87,87,,2,35611,2859,1942-06-30,Middle East July-Oct 1941.,,,
