id,soldier_id,Date,company_id,cemetery_id,cwgc_id
118,3830,1942-04-05,UNKNOWN,52,2702470
119,5011,1941-08-25,1 DIV PRO COY,618,2403219
120,4656,1919-01-22,MMP,427,363608
121,3831,1943-11-01,SINGAPORE FORTRESS,32,2665241
122,4657,1918-04-16,MMP,428,845061
123,4658,1919-02-21,MMP 1 TROOP,382,900897
124,4659,1917-08-18,MMP,429,340461
125,3832,1941-04-25,CRETE PRO COY,53,936551
126,3833,1940-06-17,1 ARMD DIV PRO COY,4,2770663
127,3834,1943-12-12,508 IND MOB PRO COY,54,2219486
128,4660,1919-01-23,MFP,430,373041
129,4661,1917-12-18,MFP,986,7532377
130,4662,1918-11-29,MMP,432,472868
131,4663,1918-04-17,MFP 2ND ARMY,433,442532
132,5105,1947-04-19,UNKNOWN,246,2430204
133,5150,1944-05-25,UNKNOWN,678,2438891
134,3835,1945-04-09,151 PRO COY,4,2770684
135,3837,1943-06-21,18 DIV PRO COY,9,2088963
136,3836,1942-12-29,55 DIV PRO COY,55,2700532
137,3838,1944-11-07,SINGAPORE FORTRESS,32,2665277
138,3839,1943-04-30,201 PRO COY,31,2208635
139,5311,1944-04-26,CMP(I).,765,2575358
140,3840,1942-03-21,9 (Army) Pro Coy,56,1155359
141,4992,1947-03-02,6 AIRBORNE DIV PRO,56,1155360
142,3841,1940-04-22,UNKNOWN,57,2690541
143,3842,1940-05-10,151 PRO COY,141,2280994
144,3843,1945-02-03,UNKNOWN,59,2937655
145,4664,1916-09-10,MFP EEF,721,475934
146,3844,1945-02-28,46 TC COY,60,2427454
147,3845,1943-07-10,641 IND PRO UNIT,61,2066083
148,3846,1942-09-03,UNKNOWN,630,2441514
149,3847,1942-06-20,105 PRO COY,763,2119784
150,3848,1944-04-17,4 BASE PRO COY,62,2393942
151,5117,1947-08-04,UNKNOWN,199,2948373
152,5275,1920-09-29,MFP,573,654126
153,5020,1944-08-14,176 PORTS COY,624,2716610
154,3849,1944-09-14,56 DIV PRO COY,63,2077409
155,5203,1942-12-25,UNKNOWN,718,2897843
156,5178,1942-07-06,UNKNOWN,699,2437262
157,5101,1947-05-25,UNKNOWN,100,2896715
158,4665,1916-05-21,MFP,434,98537
159,3850,1940-10-26,UNKNOWN,797,2145333
160,4666,1916-09-09,MFP,435,2758332
161,4667,1918-03-21,MFP,436,591485
162,3851,1940-05-31,3 DIV PRO COY,30,2082168
163,3852,1941-11-24,UNKNOWN,31,2208655
164,3853,1940-05-31,3 DIV PRO COY,30,2082169
165,3854,1945-09-22,UNKNOWN,840,2172493
166,4668,1917-12-06,MMP,415,243387
167,5092,1946-10-22,95 PRO COY,32,2665392
168,3855,1944-12-17,101 PRO COY,64,2206783
169,5186,1943-03-10,UNKNOWN,707,2654932
170,3856,1945-03-24,6 AIRBORNE DIV PRO,65,2037187
171,5073,1947-09-06,UNKNOWN,166,1475399
172,4669,1917-07-11,MMP,263,632711
173,3858,1944-08-04,16 TC COY,2,2955621
174,3857,1943-12-18,UNKNOWN,783,2717033
175,5283,1917-12-31,MFP,422,499416
176,3859,1943-03-19,501 IND MOBILE PRO COY,797,2145372
177,3860,1939-10-30,CMP BORDON CAMP,57,2690546
178,5023,1946-01-03,UNKNOWN,150,2434887
179,5170,1946-06-16,UNKNOWN,694,2700697
180,5246,1921-05-20,MMP,737,108353
181,3861,1943-05-18,UNKNOWN,67,938196
182,5204,1943-09-10,UNKNOWN,5,207906
183,3862,1945-06-19,UNKNOWN,68,2409126
184,3863,1943-09-20,18 DIV PRO COY,9,2089061
185,4670,1917-12-04,1 TC COY,542,141995
186,4671,1919-02-15,MMP,438,356274
187,4672,1918-10-17,MFP,439,376802
188,5118,1947-12-10,UNKNOWN,651,2735116
189,3864,1942-11-24,227 PRO COY,67,938208
190,3865,1944-12-30,London District Pro Coy,69,2722191
191,4674,1918-01-26,MFP,441,897931
193,5248,1921-02-21,MFP,70,397322
194,3867,1944-12-16,185 PORTS COY,1,2254986
195,3866,1940-11-15,UNKNOWN,70,2720618
196,4675,1918-07-06,MFP WESTERN COMD,804,370052
197,3868,1944-06-09,6 AIRBORNE DIV PRO,71,2847699
198,5066,1946-03-30,UNKNOWN,209,2407346
199,3869,1945-10-01,UNKNOWN,72,2434704
200,3870,1944-08-13,110 PRO COY,73,2062381
201,5205,1943-04-09,50 DIV PRO COY,118,2182549
202,4676,1918-03-15,MFP,442,388054
203,4677,1918-05-01,MFP,443,670411
204,5094,1946-06-03,1 & 6 (EA) L OF C PRO SECTIONS,640,2216799
205,3871,1944-09-10,109 PRO COY,74,2254157
206,4680,1917-11-12,MMP,841,1655914
207,4678,1918-05-09,MFP CALAIS,444,85630
208,3872,1944-10-23,112 PRO COY,75,2613822
209,4681,1917-03-27,MMP,748,402949
210,4679,1918-11-28,MFP,445,2757504
211,5417,1917-06-06,MPSC NO 4 MILITARY PRISON,760,268917
212,3873,1941-12-02,UNKNOWN,663,2406934
213,4990,1941-04-06,UNKNOWN,598,2697631
214,3874,1944-09-08,UNKNOWN,75,2613825
215,3875,1943-09-03,640 IND PRO UNIT,5,207927
216,3876,1944-09-01,UNKNOWN,77,2097075
217,3877,1942-06-30,159 PRO COY,78,2436147
218,5093,1945-03-13,GUARDS ARMD DIV PRO COY,639,2961794
219,1029,1918-12-27,MMP,446,332393
220,3878,1944-09-19,1 AIRBORNE DIV PRO,15,2644399
221,3879,1940-05-12,UNKNOWN,492,2280649
222,3880,1942-02-13,UNKNOWN,777,2099815
223,5206,1940-05-20,SIB,4,2770956
224,3881,1942-10-07,202 PRO COY,721,2110381
225,3882,1941-04-05,51 DIV PRO COY,81,2709213
226,3883,1943-08-04,18 DIV PRO COY,9,2089135
227,4683,1919-02-01,MMP,263,632844
228,5111,1947-01-27,103 (ARMY) PRO COY,786,2407627
229,3884,1943-12-25,UNKNOWN,82,2427397
230,3885,1943-06-14,80 TC COMPANY,83,2063765
231,3886,1941-07-29,UNKNOWN,84,2452767
232,3887,1946-03-01,26 TC COMPANY,85,2078966
233,596,1945-04-17,UNKNOWN,56,1155399
234,3888,1944-12-28,34 (EA) MP & DB,86,2160049
235,3889,1943-05-23,UNKNOWN,87,1525790
236,3890,1939-11-05,WESTERN DESERT FORCE,736,2274160
237,4682,1917-07-17,MMP,447,2758147
238,5010,1942-02-16,UNKNOWN,617,2428532
239,3891,1943-08-09,18 DIV PRO COY,9,2089153
240,3892,1941-04-13,"""E"" GROUP TRAFFIC CONTROL",89,2437248
241,3894,1940-05-24,UNKNOWN,91,2726331
242,4684,1917-11-05,4 DISMOUNTED TRAFFIC CONTROL UNIT,434,98639
243,5067,1946-05-01,UNKNOWN,304,2824056
244,4685,1918-09-04,MFP,448,379791
245,3893,1942-03-08,44 DIV PRO COY,90,2406299
246,5362,1944-04-19,10 INDIAN DIV PRO COY,769,2065288
247,5297,1946-04-05,CMP(I).,763,2213304
248,5239,1917-07-15,UNKNOWN,731,365934
249,3895,1941-12-25,UNKNOWN,618,2403260
250,4686,1919-02-26,MFP 2ND ARMY,382,901104
251,3896,1941-08-16,111 PRO COY,93,2837828
252,4687,1917-05-08,MFP,379,115012
253,3897,1945-07-04,SINGAPORE FORTRESS,45,2676964
254,4688,1918-12-02,MFP,34,107620
255,3898,1944-07-21,53 DIV PRO COY,290,2336161
256,3899,1944-03-17,1 DIV PRO COY,6,2372675
257,4689,1916-01-15,MMP,182,2905217
258,5048,1946-09-24,UNKNOWN,301,2113134
259,3900,1944-11-15,UNKNOWN,94,2948606
260,5207,1944-08-26,8 PARA REGT,71,2847782
261,3901,1944-12-18,UNKNOWN,987,2435313
262,5264,1920-06-07,MFP,795,403261
263,3902,1945-06-21,43 TC COY,96,2817182
264,4690,1916-06-16,MFP,263,632948
265,3903,1940-05-31,3 DIV PRO COY,4,2771100
266,3904,1942-06-21,105 PRO COY,763,2217460
267,3905,1940-05-20,12 DIV PRO COY,4,2771120
268,4691,1919-02-24,MMP,444,85680
269,3906,1942-11-21,Hong Kong Command,97,2815171
270,4693,1917-07-19,MFP,62,509571
271,4694,1919-04-28,MMP,451,204724
272,4695,1918-10-08,MFP,452,641612
273,3907,1943-01-01,113 PRO COY,12,2168399
274,3908,1944-07-05,UNKNOWN,98,2413980
275,5195,1944-04-16,UNKNOWN,714,2409346
276,3909,1941-07-30,UNKNOWN,99,2401899
277,3910,1944-06-06,242 PRO COY,2,2955866
278,3911,1941-09-12,203 PRO COY,100,2896981
279,4696,1919-12-11,MFP,453,401928
280,3912,1943-09-20,18 DIV PRO COY,9,2089255
281,4701,1919-08-04,MFP,275,355223
282,3913,1940-12-19,UNKNOWN,101,2682521
283,3914,1940-05-28,1 ARMD DIV PRO COY,102,2695020
284,3915,1944-11-27,73 TC COY,1,2255070
285,3916,1942-05-10,UNKNOWN,57,2690554
286,1208,1918-07-04,MFP GHQ DETECTIVE,444,85688
287,4700,1916-05-19,MMP,736,112372
288,3917,1943-07-20,78 DIV PRO COY,103,2103956
289,3918,1942-12-29,UNKNOWN,104,2723306
290,4697,1917-09-29,3 DIVISION MMP,434,98695
291,3919,1943-02-13,UNKNOWN,105,2736395
292,3920,1940-05-15,1 DIV PRO COY,106,2896315
293,4699,1918-10-21,MFP,454,640601
294,3923,1943-12-22,1 AIRBORNE DIV PRO,41,2377581
295,3921,1943-10-18,UNKNOWN,733,2718987
297,3922,1945-04-05,110 PRO COY,108,2042763
298,5075,1946-09-03,120 PRO COY,166,1475447
299,4702,1918-11-08,MFP,456,404447
300,1688,1919-02-19,MFP,457,481038
301,4703,1919-06-22,MFP,62,509605
302,5405,1918-03-31,MFP,750,408136
303,4705,1919-01-02,MFP CALAIS,444,85703
304,4704,1917-02-18,MMP,841,1656416
305,5099,1946-10-23,UNKNOWN,31,2208773
306,3924,1944-11-11,57 MILITARY PROVOST DETENTION BKS MPSC,54,2219602
307,4706,1917-07-22,MFP,263,633055
308,3925,1942-04-24,3 DIV PRO COY,109,2408173
309,1573,1919-02-15,MMP,805,385082
310,4707,1918-08-12,MFP ETAPLES,422,500168
311,3926,1941-06-27,UNKNOWN,110,
312,5037,1945-03-24,FSP,4,2771250
1963,6319,1918-10-21,MFP,425,900606
314,4708,1918-04-18,MFP 2ND ARMY,458,93643
315,3927,1943-03-28,46 TC COY,111,2414434
316,5027,1947-10-31,6 AIRBORNE DIV PRO,56,1155434
317,3928,1943-06-02,18 DIV PRO COY,9,2089312
318,3929,1943-09-19,18 DIV PRO COY,9,2089311
319,3930,1942-04-03,UNKNOWN,721,2110451
320,5065,1918-05-19,MFP,209,407902
321,3931,1940-05-19,1 DIV PRO COY,4,2771272
322,124,1944-10-29,46 DIV PRO COY,26,2203292
323,3932,1942-04-16,UNKNOWN,659,2690148
324,3933,1942-04-07,80 TC COMPANY,113,2809615
325,5243,1920-10-19,MMP,735,2752752
326,4709,1918-08-10,MFP 1 TC COY 1 ARMY,459,467846
327,3934,1943-09-08,18 DIV PRO COY,32,2649720
328,3935,1943-11-29,UNKNOWN,62,2393967
329,3936,1944-04-17,6 AIRBORNE DIV PRO,784,2719130
330,3937,1941-05-11,UNKNOWN,114,2430424
331,3938,1940-09-25,UNKNOWN,51,2762329
332,5053,1947-08-22,112 PRO COY,96,2817203
333,4710,1914-09-23,MMP,460,3057245
334,3939,1941-10-02,38 DIV PRO COY,806,2697612
335,4711,1918-11-27,MFP,461,357252
336,3940,1940-02-09,UNKNOWN,115,2435474
337,4995,1947-07-24,150 PRO COY,375,2407249
338,4712,1915-08-10,MFP,462,406275
339,3941,1942-09-09,49 TC COY,116,2810018
340,5040,1946-08-07,201 PRO COY,31,2208797
341,4713,1918-07-02,MMP,38,1465506
342,3942,1944-07-24,UNKNOWN,831,2178141
343,3943,1943-03-07,51 DIV PRO COY,118,2182654
344,4714,1915-01-10,MFP,463,338872
345,5364,1944-09-05,31 INDIAN ARM DIV PRO COY,770,2380726
346,5371,1945-05-26,CMP(I).,775,2507872
347,3944,1941-07-04,UNKNOWN,69,2722204
348,5312,1943-11-15,CMP(I).,765,2576480
349,4715,1918-03-23,MFP 3RD ARMY,759,36864
350,4716,1916-05-22,MFP,464,435037
351,3945,1943-08-04,18 DIV PRO COY,777,4017647
352,3946,1942-12-10,76 TC COY,119,2413516
353,5313,1944-11-11,119 (INDIAN) L OF C PRO COY,765,2576644
354,4717,1918-05-31,MMP 19 DIVISION,539,4025045
355,3947,1946-04-16,151 PRO COY,120,2408450
356,3948,1941-10-10,45 DIV PRO COY,121,2692175
357,3949,1943-08-01,159 PRO COY,797,2145768
358,5279,1920-08-08,MFP,263,633165
359,3953,1940-05-02,2 DIV PRO COY,124,2276490
360,4719,1919-04-02,MMP 9 CORPS,382,901285
361,3954,1944-06-07,6 AIRBORNE DIV PRO,71,2847905
1716,5998,1944-09-12,SINGAPORE FORTRESS PRO COY,777,4017796
363,3950,1942-02-07,SINGAPORE FORTRESS PRO COY,80,2053587
364,4718,1918-10-25,MMP 30 DIV,464,435073
365,3955,1944-06-04,71 TC COY,225,2151017
366,3956,1943-08-30,18 DIV PRO COY,9,2089400
367,3951,1944-07-02,UNKNOWN,122,2434990
368,3958,1944-06-10,245 PRO COY,126,2337010
369,3952,1941-04-06,UNKNOWN,123,2449440
370,3957,1942-11-21,23 ARMD BDE PRO UNIT,16,2093391
371,5152,1944-03-18,UNKNOWN,680,2402553
373,3959,1941-12-24,UNKNOWN,127,2447828
374,3960,1943-03-03,UNKNOWN,128,2703267
375,5058,1947-03-23,5 DIV PRO COY,309,2198545
376,5100,1947-08-15,247 PRO COY,641,2777406
377,5208,1945-09-15,UNKNOWN,33,2085185
378,5372,1944-10-09,CMP(I).,775,2508378
379,5314,1946-07-31,CMP(I).,765,2576842
380,5125,1943-11-10,UNKNOWN,658,2406204
381,1642,1919-03-12,MMP 62ND DIV,382,901325
382,3961,1942-05-01,UNKNOWN,743,2459183
383,5315,1943-06-27,CMP(I).,765,2577074
384,5298,1944-01-17,31 INDIAN ARMD DIV PRO COY,763,2213349
385,5316,1946-06-23,CMP(I).,765,2577154
386,3962,1941-07-24,UNKNOWN,130,2698535
387,5358,1944-10-02,7 INDIAN DIV PRO COY,216,2601310
388,4727,1918-08-27,MMP,470,528434
389,3963,1943-08-14,MPSC,31,2208853
390,4239,1947-10-30,6 AIRBORNE DIV PRO,56,1155456
391,3964,1944-07-24,UNKNOWN,131,2336704
392,3965,1943-05-12,111 PRO COY,103,2104026
393,3966,1942-11-14,205 PRO COY,763,2217988
394,3967,1944-07-05,UNKNOWN,132,2763565
395,4726,1918-10-31,MMP 3RD DIV,54,652250
396,5179,1946-10-04,UNKNOWN,700,2350684
397,4725,1917-03-27,MFP,469,2746824
398,4724,1918-01-25,MFP,326,4019954
399,3968,1941-08-02,204 PRO COY,133,2115028
400,3969,1945-02-04,1 TC COY,134,2812408
401,3970,1943-11-28,UNKNOWN,135,2634188
402,3971,1941-11-24,50 DIV PRO COY,136,2116013
403,3972,1943-11-23,203 PRO COY,100,2897009
404,3973,1943-07-28,18 DIV PRO COY,9,2089473
405,5098,1946-10-22,UNKNOWN,302,2932053
406,4723,1918-01-23,MFP,467,346920
407,5288,1920-05-04,MFP,592,474552
408,3976,1940-08-31,UNKNOWN,138,2437285
409,3974,1942-03-20,UNKNOWN,137,2703024
410,4722,1917-08-23,MMP,422,500708
411,3977,1944-11-11,57 MILITARY PROVOST DETENTION BKS.,54,2219665
412,5009,1945-08-09,6 AIRBORNE DIV PRO,616,2432562
413,3975,1944-07-20,6 AIRBORNE DIV PRO COY,29,2339723
414,3978,1941-01-08,ATT ROYAL FUSILIERS,139,2949563
415,5008,1942-02-16,1 AIRBORNE DIV PRO,609,2697521
416,3979,1940-11-22,UNKNOWN,140,2457237
417,3980,1940-05-21,151 PRO COY,141,2280995
418,3982,1944-09-17,15 DIV PRO COY,142,2806496
419,3981,1944-12-16,185 PORTS COY,1,2255174
420,3983,1945-04-28,200 PRO COY,143,2049869
421,3984,1943-10-05,18 DIV PRO COY,9,2089491
422,4721,1917-02-13,MFP,651,387390
423,3985,1941-06-09,UNKNOWN,618,2403311
424,3986,1943-06-15,MPSC,31,2208882
425,4720,1918-10-13,MMP,841,864838
426,4734,1917-12-11,MMP,477,437377
427,4735,1917-02-14,MMP,478,121283
428,3987,1943-07-04,UNKNOWN,62,2393991
429,3988,1942-03-08,44 DIV PRO COY,144,2417468
430,4733,1918-10-27,MFP,476,641064
431,4732,1918-10-03,MFP,333,20041
432,5250,1920-08-15,UNKNOWN,739,357051
433,3989,1944-11-20,113 PRO COY,145,2766324
434,5266,1918-07-04,MFP,749,2746435
435,5184,1944-03-02,UNKNOWN,705,2716506
436,3990,1944-11-05,UNKNOWN,840,2172641
437,5070,1945-11-03,UNKNOWN,638,2713989
438,4731,1917-08-01,MMP,474,440005
439,4730,1918-10-30,MMP IV CORPS,473,536466
440,3991,1940-06-03,UNKNOWN,146,2825648
441,5060,1946-07-14,UNKNOWN,235,2200073
442,5234,1921-01-27,MFP,726,4029008
443,5284,1917-12-19,MILITARY POLICE CORPS,759,36979
444,3993,1944-07-05,UNKNOWN,147,2414572
445,3992,1944-03-03,115 PRO COY,135,2634236
446,4729,1918-05-09,MFP 2ND ARMY,472,466969
447,4728,1916-11-27,MFP,471,2751202
448,5209,1944-09-26,1 AIRBORNE DIV PRO,329,2659002
449,3994,1942-09-04,UNKNOWN,802,2453137
450,3995,1944-02-08,UNKNOWN,148,2207951
451,3997,1944-11-22,UNKNOWN,150,2434891
452,3996,1941-05-18,UNKNOWN,149,2735681
453,5317,1946-09-06,CMP(I).,765,2577835
454,5164,1946-02-03,UNKNOWN,689,2692415
455,5318,1947-09-14,CMP(I).,765,2577990
456,5373,1944-08-17,23 INDIAN DIV PRO COY,775,1292489
457,3998,1943-06-23,L OF C PRO COY,32,2650155
458,4737,1918-10-19,MFP,480,4028861
459,3999,1944-06-20,K PRO COY,777,2131353
460,4736,1915-08-21,MMP,479,681093
461,4000,1943-11-20,UNKNOWN,783,2717055
462,5007,1945-07-28,507 IND MOB PRO COY,77,2097256
463,4001,1940-06-14,50 DIV PRO COY,151,2082996
464,4996,1945-05-02,UNKNOWN,200,2107617
465,4745,1919-02-18,MFP,485,384657
466,4002,1944-08-04,16 TC COY,2,2326224
467,5126,1945-02-16,UNKNOWN,659,2690154
468,4003,1944-05-21,UNKNOWN,152,2824044
469,4744,1916-09-27,MMP (SHOE SMITH),736,112588
470,5354,1944-11-14,119 (INDIAN) L OF C PRO COY,767,2175489
471,4004,1940-06-03,5 DIV PRO COY,49,2846594
472,4005,1940-09-29,UNKNOWN,68,2409143
473,4006,1942-09-30,UNKNOWN,153,2700826
474,4743,1918-02-06,MFP,62,509864
475,4007,1941-11-09,ATT 8 HAMPSHIRES,154,2714753
476,4742,1918-11-14,MFP,484,378306
477,4008,1943-02-17,179 PORTS COY,225,2151059
478,5127,1946-12-08,UNKNOWN,660,2447704
479,4009,1944-12-25,UNKNOWN,155,2221955
480,4741,1918-11-12,MMP 61ST DIV,482,517572
481,5267,1919-02-12,MMP,751,
482,4011,1943-08-26,18 DIV PRO COY,9,2089604
483,4740,1918-11-11,MFP,483,411814
484,4012,1943-11-27,18 DIV PRO COY,32,2650244
485,4010,1941-06-17,92 COMPANY TRAFFIC CONTROL,156,2457943
486,5139,1943-03-07,UNKNOWN,668,2734402
487,2858,1918-09-30,MFP 2 TC COY 4 ARMY,482,517604
488,4013,1942-05-22,UNKNOWN,157,2701170
489,4014,1944-07-08,3 DIV PRO COY,29,2339772
490,4015,1945-09-09,11 ARMD DIV PRO COY,158,2356379
491,4016,1944-02-09,1 DIV PRO COY,832,2678034
492,4739,1919-02-28,MFP ATTACHED APM,539,4025375
493,4738,1916-02-19,MMP,362,401797
494,4017,1943-02-12,79 ARMD DIV PRO COY,159,2833368
495,4018,1943-12-18,114 PRO COY,133,2115060
496,4418,1944-08-15,UNKNOWN,330,2434778
498,4749,1915-03-08,MFP,488,363126
499,5143,1945-04-19,UNKNOWN,671,2452159
500,4019,1944-03-09,UNKNOWN,160,2692278
501,4020,1943-08-15,UNKNOWN,161,2712746
502,4021,1941-10-17,2 PRO COY NORTHERN COMMAND,612,2702147
503,300,1944-11-25,15 DIV PRO COY,163,2054301
504,4022,1943-09-09,643 IND PRO UNIT,164,2070169
505,4023,1941-06-14,UNKNOWN,39,2691067
506,4024,1941-12-18,UNKNOWN,165,2412933
507,4025,1945-08-02,UNKNOWN,166,1475527
508,4026,1943-10-12,105 PRO COY,26,2203512
509,5017,1944-02-24,UNKNOWN,621,2075801
510,4027,1942-02-28,UNKNOWN,167,2457164
511,4748,1918-11-27,MFP,454,640658
512,5406,1945-03-10,UNKNOWN,793,4032768
513,4417,1942-10-26,51 DIV PRO COY,16,7532515
514,4747,1919-03-02,MFP,487,375591
515,4028,1942-04-27,UNKNOWN,748,2449331
516,5423,1942-05-29,17 INDIAN DIV PRO UNIT,767,2175494
517,5355,1944-12-02,119 (INDIAN) L OF C PRO COY,767,2175517
518,4029,1943-02-17,167 PRO COY,168,2718399
519,5282,1919-02-20,UNKNOWN,757,512840
520,4746,1914-12-28,MMP,486,401155
521,4030,1943-05-01,UNKNOWN,797,2146264
522,4031,1944-08-20,603 VP COY,2,2326364
523,4033,1941-02-28,226 PRO COY,170,1705126
524,4032,1941-07-10,UNKNOWN,676,2715693
525,4034,1943-10-20,18 DIV PRO COY,9,2089763
526,967,1915-10-01,MMP,496,1763774
527,4035,1940-07-13,108 PRO COY,651,2735184
